Year,All,Other,LatinAmerica,Africa,Asia
2000-01-01,35430,218,750,810,33652
2000-04-01,70647,270,2611,4456,63310
2000-07-01,112387,812,6070,7543,97962
2000-10-01,144500,854,7459,11084,125103
2001-01-01,171008,854,8270,14347,147537
2001-04-01,195325,1087,8495,17142,168601
2001-07-01,216746,1156,8597,23572,183421
2001-10-01,236384,1210,8881,29339,196954
2002-01-01,255103,1331,8930,35087,209755
2002-04-01,277149,1331,9365,42823,223630
2002-07-01,300417,1423,9971,48109,240914
2002-10-01,321140,1756,10766,54409,254209
2003-01-01,338389,1777,11149,56885,268578
2003-04-01,362726,1989,11632,64750,284355
2003-07-01,383246,2061,11791,65628,303766
2003-10-01,404247,2096,12053,70792,319306
2004-01-01,426742,2109,12156,74713,337764
2004-04-01,450680,2124,12374,77992,358190
2004-07-01,473963,2124,13048,79803,378988
2004-10-01,497205,2173,14250,82003,398779
2005-01-01,520140,2225,14692,87815,415408
2005-04-01,549863,2334,15308,91554,440667
2005-07-01,569970,2402,16007,92650,458911
2005-10-01,593158,2471,16305,93744,480638
2006-01-01,619706,2500,16388,100007,500811
2006-04-01,643097,2567,16556,102980,520994
2006-07-01,669466,2614,16838,104696,545318
2006-10-01,695852,2796,16931,105871,570254
2007-01-01,725689,3045,16937,106350,599357
2007-04-01,780878,3257,17113,106984,653524
2007-07-01,855607,3634,17400,118396,716177
2007-10-01,899835,3936,17606,124337,753956
2008-01-01,949109,4256,17997,134883,791973
2008-04-01,1007012,4642,18179,155173,829018
2008-07-01,1046403,4884,18287,172425,850807
2008-10-01,1066763,4989,18327,178410,865037
2009-01-01,1082090,5012,18455,181431,877192
2009-04-01,1110570,5047,18636,188011,898876
2009-07-01,1141195,5068,18851,190973,926303
2009-10-01,1177148,5128,19150,200041,952829
2010-01-01,1210930,5141,19941,212346,973502
2010-04-01,1263302,5215,20618,229273,1008196
2010-07-01,1341848,5279,22032,271831,1042706
2010-10-01,1451664,5295,24526,309339,1112504
2011-01-01,1546332,5297,29890,345586,1165559
2011-04-01,1672379,5331,36592,380339,1250117
2011-07-01,1884116,5348,44077,465391,1369300
2011-10-01,2084664,5405,55628,576724,1446907
2012-01-01,2290700,5454,73991,668042,1543213
2012-04-01,2501792,5482,97287,762306,1636717
2012-07-01,2717276,5511,117606,892961,1701198
2012-10-01,2916799,5633,137659,1021185,1752322
2013-01-01,3183800,5633,163385,1171892,1842890
2013-04-01,3479545,5656,179635,1272309,2021945
2013-07-01,3769411,5656,183265,1450618,2129872
2013-10-01,4071595,5722,188578,1555760,2321535
2014-01-01,4667698,5800,196634,1739494,2725770
2014-04-01,5295938,6022,207185,1962721,3120010
2014-07-01,5828170,6271,217211,2260417,3344271
2014-10-01,6158210,7798,220996,2448847,3480569
2015-01-01,6402437,8445,223362,2579960,3590671
2015-04-01,6622489,8568,225481,2698661,3689779
2015-07-01,6902450,8568,228861,2870272,3794750
2015-10-01,7054128,8568,230942,2933695,3880924
2016-01-01,7250737,8589,232211,3048175,3961762
2016-04-01,7539544,8951,233073,3275351,4022169
