Year,All,Other,LatinAmerica,Africa,Asia
2000,35430,218,750,810,33652
2001,171008,854,8270,14347,147537
2002,255103,1331,8930,35087,209755
2003,338389,1777,11149,56885,268578
2004,426742,2109,12156,74713,337764
2005,520140,2225,14692,87815,415408
2006,619706,2500,16388,100007,500811
2007,725689,3045,16937,106350,599357
2008,949109,4256,17997,134883,791973
2009,1082090,5012,18455,181431,877192
2010,1210930,5141,19941,212346,973502
2011,1546332,5297,29890,345586,1165559
2012,2290700,5454,73991,668042,1543213
2013,3183800,5633,163385,1171892,1842890
2014,4667698,5800,196634,1739494,2725770
2015,6402437,8445,223362,2579960,3590671
2016,7250737,8589,232211,3048175,3961762
